experiment,condition,model,campaign,runs,sentiment_js_distance_mean,sentiment_js_distance_median,sentiment_js_distance_ci_low,sentiment_js_distance_ci_high,positive_share_mean,positive_share_median,positive_share_ci_low,positive_share_ci_high,neutral_share_mean,neutral_share_median,neutral_share_ci_low,neutral_share_ci_high,negative_share_mean,negative_share_median,negative_share_ci_low,negative_share_ci_high,schema_valid_share_mean,schema_valid_share_median,schema_valid_share_ci_low,schema_valid_share_ci_high,thai_character_ratio_mean,thai_character_ratio_median,thai_character_ratio_ci_low,thai_character_ratio_ci_high,latin_character_ratio_mean,latin_character_ratio_median,latin_character_ratio_ci_low,latin_character_ratio_ci_high,exact_duplicate_share_mean,exact_duplicate_share_median,exact_duplicate_share_ci_low,exact_duplicate_share_ci_high,distinct_char_bigram_mean,distinct_char_bigram_median,distinct_char_bigram_ci_low,distinct_char_bigram_ci_high,narrative_count_mean,narrative_count_median,narrative_count_ci_low,narrative_count_ci_high,narrative_entropy_mean,narrative_entropy_median,narrative_entropy_ci_low,narrative_entropy_ci_high,mean_length_chars_mean,mean_length_chars_median,mean_length_chars_ci_low,mean_length_chars_ci_high,latency_seconds_mean,latency_seconds_median,latency_seconds_ci_low,latency_seconds_ci_high,prompt_tokens_mean,prompt_tokens_median,prompt_tokens_ci_low,prompt_tokens_ci_high,completion_tokens_mean,completion_tokens_median,completion_tokens_ci_low,completion_tokens_ci_high,cost_usd_mean,cost_usd_median,cost_usd_ci_low,cost_usd_ci_high
exp1_grounding,seed_only,deepseek/deepseek-v4-flash-0731,KFC Bucket Ware,10,0.3417506733131642,0.31626200201599663,0.22920770044535607,0.6115269395259835,0.33333333333333337,0.375,0.05625,0.41666666666666674,0.3833333333333333,0.3333333333333333,0.26875,0.6104166666666667,0.2833333333333333,0.29166666666666663,0.18541666666666665,0.33333333333333326,1.0,1.0,1.0,1.0,0.9540146903203723,0.9650946479735181,0.8883487325677996,1.0,0.04598530967962772,0.034905352026481956,0.0,0.1116512674322005,0.0,0.0,0.0,0.0,0.5168704611224524,0.5138662350942726,0.4580185029661925,0.5719309717527074,10.5,11.0,6.2250000000000005,12.0,3.298591434249487,3.418295834054489,2.375185746081547,3.584962500721156,55.975,55.66666666666667,43.475,69.76666666666668,37.48548622280068,21.066888673500216,5.606879569826379,87.33019142635094,330.4,325.0,322.225,347.875,842.2,848.0,768.6,891.0,0.00012088799999999999,0.00012177,0.0001120095,0.00012633299999999998
exp1_grounding,seed_only,deepseek/deepseek-v4-flash-0731,MK Buffet,10,0.19771863276747556,0.1933142282872482,0.17019221984249466,0.26142276301143585,0.2988095238095238,0.26785714285714285,0.25,0.4625,0.39404761904761904,0.4166666666666667,0.26875,0.5,0.3071428571428571,0.30952380952380953,0.25,0.3979166666666667,0.9166666666666666,1.0,0.5833333333333334,1.0,0.9849310658926391,0.9829744526208618,0.9727315322921064,1.0,0.015068934107360776,0.01702554737913818,0.0,0.02726846770789363,0.0,0.0,0.0,0.0,0.5706048129660817,0.5321397567201662,0.4780109551523451,0.7489989385247753,10.5,12.0,6.2250000000000005,12.0,3.327912160565655,3.584962500721156,2.585926350629033,3.584962500721156,56.68571428571429,58.125,41.581250000000004,67.40625,24.91004973429881,18.591859800497332,6.550638445024925,65.9608326499234,319.9,318.0,313.675,337.05,765.1,825.5,482.0,911.1,0.000111006,0.00011813999999999999,7.667399999999999e-05,0.0001287825
exp1_grounding,seed_only,deepseek/deepseek-v4-flash-0731,Parameter Gelato,10,0.17730114659053947,0.17710799052291074,0.09317516703615246,0.26363434392876556,0.325,0.3333333333333333,0.25,0.41666666666666674,0.3416666666666667,0.3333333333333333,0.25,0.41666666666666674,0.3333333333333333,0.3333333333333333,0.20416666666666666,0.41666666666666674,1.0,1.0,1.0,1.0,0.9860623357346455,0.9926252609179438,0.9560879235282983,1.0,0.013127904919009736,0.0033259423503325942,0.0,0.04391207647170169,0.0,0.0,0.0,0.0,0.5487585128413657,0.5559728362528119,0.4867252494552838,0.6028868900258569,11.3,12.0,9.225000000000001,12.0,3.4682958340544894,3.584962500721156,3.1224625007211557,3.584962500721156,57.85,57.08333333333333,45.087500000000006,74.875,29.907675757001563,16.206067676503153,5.967966229124796,78.56489945022514,324.4,319.5,313.675,341.55,810.7,813.5,722.6,926.3,0.00011674799999999999,0.00011675999999999999,0.00010613549999999998,0.0001312395
exp1_grounding,seed_only,deepseek/deepseek-v4-flash-0731,วิ่งแลกแว่น | Top Charoen,10,0.3571947017140146,0.3550154595878367,0.2982004699611319,0.41954480792098464,0.35833333333333334,0.3333333333333333,0.25,0.48125000000000007,0.3416666666666667,0.3333333333333333,0.25,0.41666666666666674,0.3,0.3333333333333333,0.25,0.33333333333333326,1.0,1.0,1.0,1.0,0.9924681505179442,1.0,0.9661802884438594,1.0,0.007531849482055704,0.0,0.0,0.03381971155614065,0.0,0.0,0.0,0.0,0.507598851984508,0.5162955415124206,0.43876636835270555,0.5646662654557392,11.3,12.0,8.675,12.0,3.4620051048697937,3.584962500721156,2.9820426828730984,3.584962500721156,52.90833333333334,50.08333333333333,42.65833333333334,63.516666666666666,32.49110642069936,12.888059430002613,5.338828594397092,70.39687844634845,333.5,328.0,322.675,351.325,811.2,802.0,702.4750000000001,893.5,0.00011735399999999999,0.00011576999999999998,0.00010389,0.0001281135
exp1_grounding,seed_only,deepseek/deepseek-v4-flash-0731,ไทยช่วยไทยพลัส,10,0.21205815098439942,0.19867599783785225,0.13187350986687002,0.27919124079168645,0.325,0.3333333333333333,0.25,0.3979166666666667,0.3333333333333333,0.3333333333333333,0.25,0.41666666666666674,0.3416666666666667,0.3333333333333333,0.25,0.41666666666666674,1.0,1.0,1.0,1.0,0.9936187581057639,1.0,0.9726096763798739,1.0,0.006381241894235978,0.0,0.0,0.027390323620126136,0.0,0.0,0.0,0.0,0.5677432714419267,0.5650783194261455,0.49563605873217026,0.6526533962651344,11.6,12.0,8.9,12.0,3.518295834054489,3.584962500721156,3.0682958340544895,3.584962500721156,47.025,46.125,31.522916666666667,62.00208333333334,32.64080154959811,15.874173882497416,5.074622557399744,68.7995897594481,324.9,323.0,318.675,342.825,769.5,757.0,702.1500000000001,885.4250000000001,0.00011183399999999997,0.00011015999999999999,0.00010368449999999999,0.000125682
exp1_grounding,seed_only,qwen/qwen3-8b,KFC Bucket Ware,10,0.2639855458861407,0.24147964749856532,0.08047682446483159,0.6101408349514528,0.3666666666666667,0.4166666666666667,0.05625,0.5645833333333334,0.5,0.5,0.3520833333333333,0.5833333333333334,0.13333333333333333,0.08333333333333333,0.01875,0.3604166666666668,1.0,1.0,1.0,1.0,0.9866384305678657,0.99706457925636,0.9375144318274429,1.0,0.013361569432134322,0.0029354207436399216,0.0,0.062485568172557134,0.0,0.0,0.0,0.0,0.5471904921476698,0.529037469615225,0.4904847495805273,0.618581081081081,11.1,12.0,8.225,12.0,3.418295834054489,3.584962500721156,2.8266291673878228,3.584962500721156,49.25,50.20833333333333,33.27916666666667,63.48125,16.812885253698916,16.53657237149673,14.186996647426168,19.49533589649691,426.4,426.0,422.0,435.20000000000005,931.6,942.0,779.55,1079.65,0.0004737668,0.0004786275,0.000404253525,0.00054109445
exp1_grounding,seed_only,qwen/qwen3-8b,MK Buffet,10,0.2454826007932805,0.27637996763536055,0.04656458953929139,0.37783279282805515,0.35,0.375,0.16666666666666666,0.5645833333333334,0.575,0.5833333333333334,0.2875,0.8145833333333334,0.075,0.0,0.0,0.25,1.0,1.0,1.0,1.0,0.9880805619571442,1.0,0.9377111486486487,1.0,0.011919438042855765,0.0,0.0,0.06228885135135137,0.0,0.0,0.0,0.0,0.5232108437961495,0.5114281280482398,0.4303864682197297,0.6285289563024876,11.3,12.0,8.45,12.0,3.4620051048697937,3.584962500721156,2.9791416933889243,3.584962500721156,50.75833333333333,51.125,37.6375,64.46666666666667,16.260572608799702,15.849586405496666,14.506591966900668,18.54226826132799,419.4,419.0,415.0,428.20000000000005,902.7,927.0,786.2250000000001,1022.375,0.00045979829999999997,0.00047145149999999996,0.000406287375,0.00051412465
exp1_grounding,seed_only,qwen/qwen3-8b,Parameter Gelato,10,0.3772945966422316,0.4629809977299684,0.1372369665136284,0.4919154513541752,0.33333333333333337,0.3333333333333333,0.16666666666666666,0.48125000000000007,0.6083333333333333,0.5833333333333334,0.5,0.73125,0.05833333333333333,0.0,0.0,0.23125,1.0,1.0,1.0,1.0,0.9916708247180397,1.0,0.9650022755092433,1.0,0.008329175281960284,0.0,0.0,0.03499772449075672,0.0,0.0,0.0,0.0,0.5571502345541459,0.5628874699847195,0.48674245731633603,0.6233705178769365,11.6,12.0,8.9,12.0,3.501629167387823,3.584962500721156,2.939129167387823,3.584962500721156,45.208333333333336,45.833333333333336,33.02708333333334,53.6,14.430670287901012,14.91863169950011,11.177517029655245,16.28661485727498,420.4,420.0,416.00000000000006,429.2,896.5,902.0,794.325,1012.575,0.0004570943,0.00045995949999999997,0.00041028585,0.0005099406
exp1_grounding,seed_only,qwen/qwen3-8b,วิ่งแลกแว่น | Top Charoen,10,0.2525114279393021,0.2555525506722245,0.12914006488259427,0.3349482035069596,0.4333333333333334,0.4166666666666667,0.26875,0.5833333333333334,0.4666666666666667,0.45833333333333337,0.3333333333333333,0.5833333333333334,0.1,0.08333333333333333,0.0,0.25,1.0,1.0,1.0,1.0,0.9945546331110687,1.0,0.9673141814865482,1.0,0.005052439580483356,0.0,0.0,0.0326858185134519,0.0,0.0,0.0,0.0,0.49354768139759375,0.4799972440538,0.4525028349652943,0.577483721001537,11.1,12.0,6.9,12.0,3.4057143756850983,3.584962500721156,2.542888542207534,3.584962500721156,54.483333333333334,55.708333333333336,43.29375,63.18958333333333,17.672160940799223,17.610676864998823,15.999434725798528,19.985061384226174,429.4,429.0,425.0,438.20000000000005,990.2,969.5,895.8,1078.0,0.0005007808,0.0004911399999999999,0.00045740467499999997,0.00054170675
exp1_grounding,seed_only,qwen/qwen3-8b,ไทยช่วยไทยพลัส,10,0.2904225631798881,0.27798634986325377,0.14825031504568403,0.48664037165016133,0.36666666666666664,0.375,0.18541666666666665,0.5645833333333334,0.5333333333333334,0.5,0.4166666666666667,0.7770833333333336,0.1,0.08333333333333333,0.0,0.29583333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4822377621648399,0.4790370314159964,0.3928735497317227,0.5634722222222222,10.5,11.5,5.9,12.0,3.298591434249487,3.5016291673878226,2.3351732200804456,3.584962500721156,56.0,55.416666666666664,46.45,68.45208333333333,17.449750582400156,17.913877367001987,13.974073913621943,19.85678287450137,426.4,426.0,422.0,435.20000000000005,969.5,950.0,897.35,1081.275,0.0004910113,0.00048209199999999994,0.00045789055,0.000541716825
exp1_grounding,ungrounded,deepseek/deepseek-v4-flash-0731,KFC Bucket Ware,10,0.3167873372533404,0.3285113206841501,0.156207759542307,0.39739711471776046,0.3613636363636364,0.3333333333333333,0.26875,0.48125000000000007,0.34393939393939393,0.3333333333333333,0.25,0.41666666666666674,0.2946969696969697,0.29166666666666663,0.12083333333333332,0.41666666666666674,0.9916666666666666,1.0,0.9354166666666667,1.0,0.946582461263516,0.9709391534391534,0.8765583067045123,0.9979420731707317,0.05292126082085117,0.029060846560846558,0.0020579268292682928,0.12232506798531399,0.0,0.0,0.0,0.0,0.601747245573013,0.618126762900282,0.5288692626927921,0.6477078587699316,11.4,12.0,9.225000000000001,12.0,3.4827853499947414,3.584962500721156,3.108308360055591,3.584962500721156,44.347727272727276,44.071969696969695,34.858333333333334,54.7625,47.43630625529986,66.95213414699901,5.825903757621745,82.48805093545107,252.3,250.0,250.0,267.82500000000005,772.6,770.0,718.9750000000001,825.575,0.00010784999999999998,0.00010758,0.000101277,0.00011406899999999998
exp1_grounding,ungrounded,deepseek/deepseek-v4-flash-0731,MK Buffet,10,0.19518386262804396,0.20852916612027095,0.12898832753089076,0.2251733978415953,0.4,0.4166666666666667,0.26875,0.5,0.3,0.25,0.25,0.41666666666666674,0.3,0.3333333333333333,0.25,0.33333333333333326,1.0,1.0,1.0,1.0,0.9624824982121819,0.9647986798679868,0.9194105132138826,0.997799511002445,0.03589110434671124,0.0352013201320132,0.0,0.08058948678611746,0.0,0.0,0.0,0.0,0.6297686021725732,0.632100126895885,0.5601574933687002,0.7020955380577428,11.2,12.0,9.225000000000001,12.0,3.4453384382031276,3.584962500721156,3.073709349539765,3.584962500721156,42.36666666666667,43.58333333333333,30.418750000000003,57.20625,39.18650544659977,42.4189853559983,5.478349198604519,72.49344467979809,252.5,248.0,248.00000000000003,270.775,764.1,777.5,686.625,853.05,0.00010684199999999998,0.00010817999999999998,9.727499999999999e-05,0.00011738099999999999
exp1_grounding,ungrounded,deepseek/deepseek-v4-flash-0731,Parameter Gelato,10,0.2069462894557343,0.19888703805443053,0.17515902317190835,0.25930276916095374,0.3583333333333333,0.3333333333333333,0.3333333333333333,0.41666666666666674,0.375,0.375,0.26875,0.48125000000000007,0.26666666666666666,0.25,0.16666666666666666,0.3979166666666667,1.0,1.0,1.0,1.0,0.9739157851824283,0.9978021978021978,0.8796347642102075,1.0,0.026084214817571665,0.002197802197802198,0.0,0.1203652357897925,0.0,0.0,0.0,0.0,0.5568488863797245,0.568145744000379,0.5009242644148304,0.6066434754281459,11.8,12.0,10.45,12.0,3.551629167387823,3.584962500721156,3.3266291673878223,3.584962500721156,48.675,51.04166666666667,35.97291666666666,59.72916666666667,45.43333417570102,47.12263476299995,5.293363115153626,95.65311677559603,252.6,248.0,248.00000000000003,271.0,788.5,789.0,714.5,866.6,0.00010977599999999999,0.00011025,0.00010062,0.00011887199999999998
exp1_grounding,ungrounded,deepseek/deepseek-v4-flash-0731,วิ่งแลกแว่น | Top Charoen,10,0.38213468877495893,0.3970133642275846,0.2982004699611319,0.42406882477028657,0.375,0.4166666666666667,0.26875,0.41666666666666674,0.30833333333333335,0.29166666666666663,0.25,0.41666666666666674,0.31666666666666665,0.3333333333333333,0.25,0.33333333333333326,1.0,1.0,1.0,1.0,0.9838048427709547,1.0,0.9326861571264556,1.0,0.016195157229045343,0.0,0.0,0.06731384287354437,0.0,0.0,0.0,0.0,0.4921816420165056,0.504803790097752,0.3932661156651197,0.546152077212444,11.9,12.0,11.225000000000001,12.0,3.5682958340544895,3.584962500721156,3.4557958340544896,3.584962500721156,52.88333333333334,54.29166666666667,41.4375,65.01875000000001,51.321412250700085,69.04759716499757,7.595187856252961,100.85466154537372,259.3,257.0,257.0,274.82500000000005,806.7,832.0,639.975,926.45,0.00011236199999999999,0.00011525999999999998,9.221699999999999e-05,0.000126594
