campaign,seed,sentiment_js_distance_deepseek_minus_qwen,positive_share_deepseek_minus_qwen,neutral_share_deepseek_minus_qwen,negative_share_deepseek_minus_qwen,schema_valid_share_deepseek_minus_qwen,thai_character_ratio_deepseek_minus_qwen,latin_character_ratio_deepseek_minus_qwen,exact_duplicate_share_deepseek_minus_qwen,distinct_char_bigram_deepseek_minus_qwen,narrative_count_deepseek_minus_qwen,narrative_entropy_deepseek_minus_qwen,mean_length_chars_deepseek_minus_qwen,latency_seconds_deepseek_minus_qwen,prompt_tokens_deepseek_minus_qwen,completion_tokens_deepseek_minus_qwen,cost_usd_deepseek_minus_qwen
MK Buffet,1,-0.1489842584169241,0.25,-0.5,0.25,0.0,-0.006511201527024335,0.0065112015270243125,0.0,0.01990620308989033,4.0,0.666666666666667,5.833333333333329,1.0368053499987582,-100.0,-234.0,-0.000383412
MK Buffet,2,-0.10899581684673904,-0.29761904761904767,0.011904761904761862,0.2857142857142857,-0.41666666666666663,-0.029126213592232997,0.02912621359223301,0.0,0.26019233229562033,-6.0,-1.0633218643778375,-21.916666666666664,26.20403328199609,-106.0,-555.0,-0.000444238
MK Buffet,3,-0.07311833855286617,-0.08333333333333337,-0.25000000000000006,0.3333333333333333,0.0,0.0,0.0,0.0,-0.010758181621685403,0.0,0.0,6.583333333333336,57.71903620899684,-99.0,10.0,-0.00028869
MK Buffet,4,-0.12529677744750406,-0.08333333333333331,-0.16666666666666663,0.25,0.0,-0.016920473773265665,0.01692047377326565,0.0,-0.02374703162104741,0.0,0.0,23.583333333333336,5.229898712997965,-96.0,103.0,-0.00029108499999999995
MK Buffet,5,0.14038295581190463,-0.16666666666666669,-0.08333333333333331,0.25,0.0,-0.02086956521739125,0.020869565217391306,0.0,-0.060985933616421906,2.0,0.396240625180289,14.333333333333329,-10.445950952998828,-77.0,-64.0,-0.000351418
MK Buffet,6,-0.015136951944312638,-0.25,0.25,0.0,0.0,-0.014842300556586308,0.014842300556586271,0.0,-0.05228782988418451,-1.0,-0.16666666666666696,21.0,-5.171034982005949,-104.0,5.0,-0.00030606899999999996
MK Buffet,7,0.1624991331263144,-0.08333333333333337,-0.08333333333333337,0.16666666666666666,0.0,0.005478246960972544,-0.005478246960972488,0.0,-0.023684995154918398,0.0,0.0,16.75,-9.61823319499672,-100.0,5.0,-0.0003171049999999999
MK Buffet,8,-0.06072471720311712,0.0,-0.4166666666666667,0.4166666666666667,0.0,-0.01908396946564883,0.019083969465648856,0.0,0.1008880897896916,-2.0,-0.396240625180289,6.416666666666664,2.414246659995115,-96.0,-95.0,-0.0003571119999999999
MK Buffet,9,-0.07464776749811255,0.11904761904761904,-0.15476190476190482,0.0357142857142857,-0.41666666666666663,0.07432432432432434,-0.07432432432432433,0.0,0.21781129757170103,-5.0,-0.7776075786635519,-14.059523809523817,26.888785925002594,-105.0,-459.0,-0.000400669
MK Buffet,10,-0.17361714128669264,0.08333333333333334,-0.4166666666666667,0.3333333333333333,0.0,-0.003943807798197585,0.003943807798197521,0.0,0.04660574085067598,0.0,0.0,0.75,-7.762815753994801,-112.0,-92.0,-0.00034812499999999996
