campaign,seed,action_rate_delta,reach_rate_delta,positive_share_delta,neutral_share_delta,negative_share_delta,js_distance_to_calibration_target_delta,sentiment_mean_delta,sentiment_shift_delta,normalized_entropy_delta,polarization_index_delta,cross_sentiment_edge_share_delta,largest_cascade_share_delta,cascade_depth_delta,cascade_breadth_delta,time_to_50pct_delta
MK Buffet,1,0.03799999999999998,0.02399999999999991,0.29548175799408366,-0.16449499929567546,-0.13098675869840823,0.13627768148197228,0.426468516692492,0.426468516692492,-0.2178532580694741,-0.1233703912653358,-0.09066666666666662,0.0020601493168051765,-1,0,0
MK Buffet,2,0.020000000000000018,0.014000000000000012,0.1397021058038007,-0.10550167678781835,-0.03420042901598236,0.13627071981482705,0.17390253481978302,0.17390253481978302,-0.1781955327064696,-0.07739238898764944,-0.01866666666666672,0.023928215353938187,2,0,1
MK Buffet,3,0.010000000000000009,0.01200000000000001,0.22372372372372373,-0.15630630630630632,-0.06741741741741741,0.20497786922574823,0.2911411411411411,0.2911411411411411,-0.25200097012231315,-0.11664114565015465,-0.053333333333333344,-0.015315315315315298,-1,0,2
MK Buffet,4,0.0020000000000000018,-0.007999999999999952,0.24812362030905077,-0.16119205298013248,-0.08693156732891832,0.2194674721819665,0.33505518763796915,0.33505518763796915,-0.3050155552930125,-0.14601714349760492,-0.06000000000000005,-0.06123620309050773,-1,1,0
MK Buffet,5,0.006000000000000005,-0.006000000000000005,0.22383824754950588,-0.14258502321520694,-0.08125322433429899,0.20351797887935064,0.3050914718838049,0.3050914718838049,-0.220757839646334,-0.11737732851470747,-0.07400000000000007,-0.0066867732846541406,2,0,1
MK Buffet,6,-0.014000000000000012,-0.006000000000000005,0.27648351648351643,-0.1463736263736264,-0.13010989010989013,0.11549395019359168,0.4065934065934066,0.4065934065934066,-0.198763638389427,-0.12673561164110617,-0.016666666666666607,0.0008791208791208704,0,0,-1
MK Buffet,7,0.04800000000000004,0.04400000000000004,0.1353166194237279,-0.08269807634091975,-0.05261854308280815,0.12329771439996734,0.18793516250653602,0.18793516250653602,-0.11995824902423258,-0.06912562144563364,-0.009370816599732268,0.02025483666785921,4,0,1
MK Buffet,8,-0.023999999999999966,-0.023999999999999966,0.24246177176797679,-0.16105143434854036,-0.08141033741943637,0.22442973800893481,0.32387210918741316,0.32387210918741316,-0.257624472515135,-0.13213537227458555,-0.02208835341365467,0.01885504865411347,-3,0,0
MK Buffet,9,0.016000000000000014,-0.0020000000000000018,0.26811041634894006,-0.22136647857251793,-0.04674393777642215,0.19536978761976678,0.31485435412536217,0.31485435412536217,-0.1843304405647972,-0.029970031573292505,-0.05886287625418063,-0.04682019216104924,-1,0,-1
MK Buffet,10,-0.028000000000000025,-0.051999999999999935,0.2991914199741119,-0.22398171028964314,-0.07520970968446887,0.13587009012137954,0.37440112965858074,0.37440112965858074,-0.15397493745350566,-0.009530137564358138,-0.05150501672240804,0.024408694336577746,1,0,0
Parameter Gelato,1,0.008000000000000007,0.008000000000000007,0.14421442758564207,0.04611257857771772,-0.19032700616335974,0.17196754967388114,0.3345414337490018,0.3345414337490018,-0.03268453894137524,-0.06161082481364791,0.010702341137123761,0.015643876568994824,0,-1,0
Parameter Gelato,2,-0.018000000000000016,-0.030000000000000027,0.2511459129106188,0.01312343119065812,-0.2642693441012769,0.18980539321000786,0.5154152570118956,0.5154152570118956,0.024310847469337427,0.0210443368958112,0.03411371237458194,-0.038306231583542516,-3,0,0
Parameter Gelato,3,0.023999999999999966,0.03199999999999997,0.21764588129316384,-0.04489040136122513,-0.17275547993193874,0.2256126191426129,0.3904013612251026,0.39040136122510255,-0.0258818383845556,-0.01478942899274946,-0.021376085504342,-0.024171754579121213,-2,0,1
Parameter Gelato,4,0.020000000000000018,0.02400000000000002,0.10123032814001479,0.08010523165141231,-0.1813355597914271,0.1538803899155057,0.2825658879314419,0.2825658879314419,-0.037399850779235466,-0.07141761629052715,0.004013377926421424,-0.009247152601647796,0,0,-1
Parameter Gelato,5,-0.010000000000000009,-0.016000000000000014,0.23755818116720376,-0.038086287146437525,-0.19947189402076618,0.2566211711424552,0.4370300751879699,0.4370300751879699,-0.030890311934300585,-0.0176959264305718,0.027424749163879603,-0.01369495166487647,1,0,-2
Parameter Gelato,6,-0.023999999999999966,-0.014000000000000012,0.21587301587301588,-0.03134920634920635,-0.1845238095238095,0.23443835078324618,0.40039682539682536,0.4003968253968253,-0.022099044692042935,-0.010922146636432317,-0.00868403473613899,0.0134920634920635,-1,0,1
Parameter Gelato,7,0.040000000000000036,0.035999999999999976,0.3060805860805861,-0.08805860805860805,-0.21802197802197804,0.29962337835644787,0.5241025641025641,0.5241025641025642,-0.044070028079957746,-0.012667326812381752,-0.019333333333333313,0.004102564102564099,0,0,0
Parameter Gelato,8,0.016000000000000014,0.006000000000000005,0.17292078121571208,-0.012727671713846811,-0.16019310950186527,0.1765181392765635,0.33311389071757735,0.33311389071757735,0.0315000905798446,0.037976237306987876,0.005333333333333301,0.029580864603906076,0,0,0
Parameter Gelato,9,-0.01200000000000001,-0.010000000000000009,0.21627661180733804,-0.05000754944889024,-0.16626906235844785,0.1413278402865293,0.3825456741657859,0.3825456741657859,0.07717755830283501,0.09973073715882969,0.03139612558450233,0.016065227238411584,0,0,0
Parameter Gelato,10,0.010000000000000009,-0.0020000000000000018,0.22912431292824337,-0.01530381748362325,-0.21382049544462015,0.19261790463664202,0.44294480837286354,0.44294480837286354,0.02889929078413367,0.03263663164571043,0.012717536813922403,-0.020461561629395386,-1,0,-1
วิ่งแลกแว่น | Top Charoen,1,0.033999999999999975,0.02799999999999997,0.3885837782862955,-0.26709890668700736,-0.12148487159928809,0.23843724101532945,0.5100686498855835,0.5100686498855835,-0.22744759788448177,-0.12292752317307785,-0.045999999999999985,-0.008568522756165792,-1,0,1
วิ่งแลกแว่น | Top Charoen,2,0.07200000000000001,0.07600000000000001,0.2508548632218845,-0.2074468085106383,-0.0434080547112462,0.21581752532447668,0.2942629179331307,0.29426291793313075,-0.23828023459920733,-0.081412982661376,-0.03933333333333333,-0.002469604863221897,0,0,-1
วิ่งแลกแว่น | Top Charoen,3,0.020000000000000018,-0.0020000000000000018,0.32153392330383485,-0.2190675188462799,-0.1024664044575549,0.2097857244219064,0.42400032776138974,0.42400032776138974,-0.22171488476965984,-0.11954927491252444,-0.006666666666666654,0.016183218616846934,0,0,0
วิ่งแลกแว่น | Top Charoen,4,0.01200000000000001,0.017999999999999905,0.3017997917596312,-0.24770687689027715,-0.05409291486935396,0.232182779792316,0.3558927066289852,0.3558927066289852,-0.09382014907332126,-0.03769223982677329,-0.028000000000000025,0.013188556695919493,-1,0,1
วิ่งแลกแว่น | Top Charoen,5,0.03600000000000003,0.04800000000000004,0.3149824647255525,-0.28023815349482095,-0.03474431123073159,0.2630415841983522,0.3497267759562841,0.3497267759562841,-0.1360943625287121,-0.026568586762638707,-0.014666666666666661,-0.014191338390017127,0,0,0
วิ่งแลกแว่น | Top Charoen,6,-0.026000000000000023,-0.03400000000000003,0.3241367139243485,-0.27483969645273254,-0.04929701747161598,0.24488761445700008,0.3734337313959645,0.3734337313959645,-0.15441133705870702,-0.012963711948936169,-0.008000000000000007,0.015177363374316133,-2,0,1
วิ่งแลกแว่น | Top Charoen,7,0.0020000000000000018,-0.010000000000000009,0.30301672640382316,-0.2195340501792114,-0.08348267622461171,0.15786545048689593,0.38649940262843485,0.38649940262843485,-0.06908539669026503,-0.042837768299767764,0.0020000000000000018,-0.0006827103601297069,0,0,0
วิ่งแลกแว่น | Top Charoen,8,-0.014000000000000012,-0.01200000000000001,0.36417748917748916,-0.31222943722943725,-0.05194805194805195,0.3209635427688807,0.4161255411255411,0.41612554112554107,-0.23329692531488244,-0.07646033620059595,-0.04199999999999998,-0.0037878787878787845,-2,0,0
