campaign,feed,network,population,runs,action_rate_mean,action_rate_median,action_rate_ci_low,action_rate_ci_high,reach_rate_mean,reach_rate_median,reach_rate_ci_low,reach_rate_ci_high,positive_share_mean,positive_share_median,positive_share_ci_low,positive_share_ci_high,neutral_share_mean,neutral_share_median,neutral_share_ci_low,neutral_share_ci_high,negative_share_mean,negative_share_median,negative_share_ci_low,negative_share_ci_high,js_distance_to_calibration_target_mean,js_distance_to_calibration_target_median,js_distance_to_calibration_target_ci_low,js_distance_to_calibration_target_ci_high,sentiment_mean_mean,sentiment_mean_median,sentiment_mean_ci_low,sentiment_mean_ci_high,sentiment_shift_mean,sentiment_shift_median,sentiment_shift_ci_low,sentiment_shift_ci_high,normalized_entropy_mean,normalized_entropy_median,normalized_entropy_ci_low,normalized_entropy_ci_high,polarization_index_mean,polarization_index_median,polarization_index_ci_low,polarization_index_ci_high,cross_sentiment_edge_share_mean,cross_sentiment_edge_share_median,cross_sentiment_edge_share_ci_low,cross_sentiment_edge_share_ci_high,largest_cascade_share_mean,largest_cascade_share_median,largest_cascade_share_ci_low,largest_cascade_share_ci_high,cascade_depth_mean,cascade_depth_median,cascade_depth_ci_low,cascade_depth_ci_high,cascade_breadth_mean,cascade_breadth_median,cascade_breadth_ci_low,cascade_breadth_ci_high,time_to_50pct_mean,time_to_50pct_median,time_to_50pct_ci_low,time_to_50pct_ci_high
วิ่งแลกแว่น | Top Charoen,chronological,matched_random,500,10,0.9667999999999999,0.966,0.9544499999999999,0.98375,0.9972,0.998,0.994,1.0,0.32045730311992304,0.3135514505460164,0.26024001998755014,0.37938439207650276,0.5876693945376387,0.5895283457452875,0.5609490740740741,0.6076142762155656,0.09187330234243832,0.09271428323408393,0.052359118852459016,0.1332143749444202,0.11419265021663735,0.11516001466904538,0.09908244133558286,0.13120539565396366,0.2285840007774847,0.2208371673119325,0.12799686212401595,0.32426400273224043,0.028584000777484696,0.020837167311932497,-0.07200313787598406,0.12426400273224042,0.8096378960595981,0.8134319463306942,0.7614227649754232,0.8443878417835898,0.11355291778315457,0.1162962042783193,0.07646255521869122,0.14211554115587677,0.4894,0.49066666666666664,0.4595166666666667,0.5116833333333333,0.2418080711025185,0.23328431436912156,0.19304916317991633,0.31611197848720257,9.6,10.0,9.0,10.0,6.8,6.0,6.0,9.55,6.0,6.0,5.225,6.775
วิ่งแลกแว่น | Top Charoen,chronological,post_affiliation_proxy,1000,10,0.4206,0.4205,0.362575,0.47695,0.4838,0.482,0.41245000000000004,0.5527000000000001,0.32853403518202723,0.3188661247511613,0.30743898488120946,0.3683189888758609,0.5857937290882516,0.5838845087055111,0.5709290839671215,0.603670269423559,0.08567223572972124,0.08510338345864661,0.05578100315955766,0.12059284892245117,0.1079842155734662,0.10740467986773883,0.09005996692241183,0.1333865840301239,0.242861799452306,0.23238423928674143,0.18771657391496271,0.31067338072669826,0.04286179945230599,0.03238423928674142,-0.01228342608503732,0.11067338072669826,0.8066148875145538,0.7990848103742997,0.7696808981055835,0.8535167782339264,0.11115290374499436,0.10607128252963235,0.08166640903751621,0.14866366994904354,0.46076666666666666,0.46216666666666667,0.43294166666666667,0.484925,0.07990954419721848,0.07714882809375251,0.0714669281019992,0.09515870642515378,11.0,11.0,10.0,12.0,4.0,4.0,3.225,4.775,5.9,6.0,5.0,6.775
วิ่งแลกแว่น | Top Charoen,chronological,post_affiliation_proxy,200,10,0.429,0.41500000000000004,0.27625000000000005,0.58875,0.5045,0.505,0.327375,0.6488750000000001,0.3126699779743951,0.31253827311696264,0.1910952380952381,0.42525641025641026,0.5945460498882722,0.5943675889328064,0.5086538461538461,0.7048095238095239,0.09278397213733267,0.09854497354497355,0.06467948717948718,0.11353987993138936,0.11857000028429195,0.11364855761855054,0.0749677186592314,0.16865800461176966,0.21988600583706247,0.22733798195242,0.08700000000000001,0.35916666666666675,0.01988600583706245,0.02733798195242,-0.11300000000000002,0.15916666666666668,0.8003743875651892,0.8070788399843141,0.7264052956698062,0.8560234467049606,0.11310190675972306,0.1125981936567948,0.07884214663643235,0.1514414096664601,0.46799999999999997,0.4716666666666667,0.4359583333333334,0.5045833333333333,0.3374215925140315,0.3136655011655012,0.2850378787878788,0.49891434561245884,10.1,10.0,8.225,11.775,3.6,3.5,3.0,4.775,5.5,5.5,5.0,6.0
วิ่งแลกแว่น | Top Charoen,chronological,post_affiliation_proxy,500,10,0.41079999999999994,0.414,0.35875,0.45065,0.4814,0.483,0.42050000000000004,0.54015,0.33829975699758685,0.336534955792544,0.25935071490620526,0.4394592476489029,0.5769069174974221,0.5704833862080481,0.5070225033587104,0.6638397154462001,0.0847933255049911,0.08560003831050665,0.05351824899238693,0.11198537899191997,0.11770619577531494,0.12379507458482342,0.04942586677331978,0.1744635726807132,0.2535064314925958,0.2433574879227053,0.17926246300933307,0.38594099865651593,0.05350643149259576,0.0433574879227053,-0.020737536990666956,0.18594099865651592,0.8046318167136283,0.8098662130248466,0.7423354746247985,0.8431130837911089,0.11220385617937427,0.11265589648385207,0.07672643789471431,0.1397606655374945,0.46299999999999997,0.45866666666666667,0.43566666666666665,0.4939166666666666,0.15384578800770274,0.15552227944469324,0.1302252045416597,0.17778943988936086,10.2,10.0,9.225000000000001,11.0,3.8,4.0,3.0,4.0,6.0,6.0,5.225,6.775
วิ่งแลกแว่น | Top Charoen,interest,matched_random,1000,10,0.9638,0.9655,0.9499,0.971,0.9957,0.996,0.99245,0.99855,0.3616699539846918,0.3777202539923905,0.2909743112426708,0.3981900582737909,0.5676357714661213,0.5569078725280802,0.5410868261716841,0.6261156269671004,0.07069427454918684,0.06850610669096847,0.04556735101217028,0.11655313083437907,0.12206001510374657,0.1326369012451634,0.07355387438655467,0.14057755919678003,0.290975679435505,0.30467274263887056,0.18329430083643408,0.34683316168898043,0.09097567943550497,0.10467274263887053,-0.016705699163565933,0.14683316168898042,0.7925960788052626,0.7911092247887803,0.7464378203337803,0.8510200371542556,0.10025722805096042,0.09753104587016231,0.06696125949529756,0.1467078547404573,0.4681,0.47050000000000003,0.44148333333333334,0.49195833333333333,0.1316395312770885,0.13499107686833123,0.09691707868433536,0.15775085498956765,7.6,8.0,7.0,8.0,10.0,10.0,8.225,11.775,6.1,6.0,6.0,6.775
วิ่งแลกแว่น | Top Charoen,interest,matched_random,200,10,0.967,0.965,0.9522499999999999,0.9788749999999999,0.9984999999999999,1.0,0.9950000000000001,1.0,0.34315011025796704,0.3529565672422815,0.24038252848616384,0.4255978477481068,0.5754813864669742,0.5656656444961403,0.5043515220207254,0.6758740184819187,0.08136850327505872,0.07772020725388601,0.04112129666533812,0.15384237796563952,0.1254839235033679,0.14059764366106398,0.03742048405566896,0.1718180178830007,0.2617816069829083,0.2762951334379906,0.0868346059449141,0.36892586687923473,0.061781606982908285,0.07629513343799058,-0.11316539405508592,0.16892586687923472,0.7936481293742927,0.7999130013016439,0.7183262496205484,0.8604728108372122,0.10524628446190036,0.11055330344438777,0.06358028099748383,0.15561451750779087,0.47433333333333333,0.48583333333333334,0.39383333333333337,0.509625,0.4667902897021639,0.4626488969606325,0.32580756152849744,0.635984156820623,6.7,6.5,6.0,8.0,8.0,8.0,7.0,10.55,5.7,6.0,5.0,6.0
วิ่งแลกแว่น | Top Charoen,interest,matched_random,500,10,0.9676,0.968,0.95735,0.9755499999999999,0.9970000000000001,0.997,0.994,1.0,0.3267829252697222,0.33781990154892916,0.20863163911175092,0.39337040031484477,0.5891270546593493,0.5767659680703159,0.5425356709168185,0.6411066068291031,0.08409002007092847,0.07061639994823793,0.04559543386387649,0.15026175405914607,0.1163108917651154,0.119418178924138,0.06992595529551339,0.15744952203401566,0.24269290519879366,0.2559319776981692,0.05836988505260484,0.33716697466697465,0.04269290519879366,0.05593197769816924,-0.1416301149473952,0.13716697466697467,0.7940861078657038,0.7957567412033716,0.7479434609042398,0.8395017434202718,0.10301925311082334,0.10346358176142412,0.06750018042570073,0.1364875974970418,0.4676,0.4653333333333334,0.4406,0.49243333333333333,0.24314466895796621,0.24099741207415892,0.17656703169782267,0.3040200498973466,7.7,8.0,6.2250000000000005,9.0,10.0,9.0,8.0,15.100000000000001,5.8,6.0,5.0,6.0
วิ่งแลกแว่น | Top Charoen,interest,post_affiliation_proxy,1000,10,0.4147,0.417,0.37502500000000005,0.455175,0.48179999999999995,0.481,0.432825,0.5460750000000001,0.33792769281880497,0.34160481518407737,0.28068569018220063,0.3766095253114651,0.5843200279988019,0.5932506110171085,0.5409802870209747,0.6252706640449173,0.07775227918239311,0.07763281583819968,0.0593772424057193,0.09948588301030972,0.10621259433074526,0.09579061184588389,0.07967917804021771,0.1400324976788768,0.26017541363641183,0.26971358176778565,0.1850133664939248,0.29794212269358145,0.06017541363641182,0.06971358176778564,-0.014986633506075198,0.09794212269358145,0.7971954951226036,0.7956330384189114,0.7646478231390802,0.8353437163241588,0.10461352644175706,0.10548081521981773,0.08127895285392765,0.1328971968583638,0.4418666666666667,0.4405,0.427875,0.46531666666666666,0.07685395616899302,0.07674567069067653,0.07070847895872821,0.0831955776437133,8.6,9.0,7.225,9.775,6.0,6.0,6.0,6.0,5.9,6.0,5.225,6.0
วิ่งแลกแว่น | Top Charoen,interest,post_affiliation_proxy,200,10,0.4225,0.4625,0.28287500000000004,0.516625,0.49800000000000005,0.545,0.33125000000000004,0.619375,0.3504216765472303,0.3317972350230415,0.1959000900090009,0.5190797101449276,0.5612999286566143,0.5563492063492064,0.45170652173913045,0.6786609709358034,0.08827839479615548,0.08090062111801243,0.029213768115942028,0.1578708111195735,0.14863674491601658,0.13955504895196824,0.07505540139809418,0.23694194074225303,0.2621432817510748,0.2566820276497696,0.053308263518659554,0.4898659420289856,0.06214328175107479,0.056682027649769595,-0.14669173648134046,0.2898659420289856,0.7984776943357517,0.8036243263844558,0.7286358215955907,0.8903421886114868,0.11001721114337215,0.10786247002360311,0.05676865784499055,0.18436706257029686,0.449,0.46166666666666667,0.3927083333333334,0.47295833333333337,0.33807209704063046,0.32763115021179534,0.2823225806451613,0.4157246376811594,7.4,7.5,6.2250000000000005,8.0,5.9,6.0,5.225,6.0,5.8,6.0,4.225,7.0
วิ่งแลกแว่น | Top Charoen,interest,post_affiliation_proxy,500,10,0.41200000000000003,0.402,0.36825,0.48059999999999997,0.48260000000000003,0.482,0.41719999999999996,0.55415,0.3372371283158434,0.3472949389179756,0.23992335924006908,0.4695020614883437,0.5725691393371262,0.5769285359449294,0.4770343656009803,0.6331018518518519,0.0901937323470304,0.08621506905392887,0.04878937551809892,0.1448718298336515,0.1311598052704732,0.1274565220049413,0.08599022645286614,0.20261118680686394,0.24704339596881303,0.248734190851701,0.09743091537132988,0.417588071154517,0.047043395968813,0.04873419085170101,-0.10256908462867015,0.21758807115451698,0.8069786012574683,0.8000731582060598,0.7638966483157037,0.8560259647815973,0.11344732063924634,0.10807957411428643,0.07753141790563654,0.15183050319687097,0.44233333333333336,0.44033333333333335,0.41741666666666666,0.4653333333333333,0.1484772866022273,0.15120173364854217,0.12193997371426109,0.17421394395078604,9.0,9.0,8.0,10.0,6.0,6.0,6.0,6.0,5.8,6.0,5.0,6.775
วิ่งแลกแว่น | Top Charoen,popularity,matched_random,1000,10,0.9642,0.9675,0.9508,0.9738749999999999,0.9955999999999999,0.9955,0.993,0.998775,0.3893127815217595,0.39584935897435897,0.29253971929324596,0.4411806679730766,0.5422114190605148,0.5321699512608604,0.5083299133929583,0.5995151084710744,0.0684757994177257,0.06541622760800843,0.03974216597796143,0.1101177329723568,0.14682070255215268,0.15340515427946005,0.11023225852572485,0.17328914299291603,0.32083698210403383,0.3307772435897436,0.18242198632088918,0.39773078725398314,0.12083698210403382,0.13077724358974357,-0.01757801367911085,0.19773078725398308,0.7954468924280301,0.8036855609686877,0.7400444670954797,0.8392317345261953,0.10250020910841665,0.10835030799802947,0.0613583787460205,0.13756696381410854,0.4530666666666667,0.45016666666666666,0.436575,0.4696583333333333,0.1417659071028129,0.13732449173232125,0.10147210743801653,0.20433955054907732,8.2,8.0,7.0,9.775,10.3,10.0,9.0,11.775,6.0,6.0,6.0,6.0
วิ่งแลกแว่น | Top Charoen,popularity,matched_random,200,10,0.9674999999999999,0.97,0.9472499999999999,0.98275,0.9974999999999999,1.0,0.991125,1.0,0.2881221726424835,0.2831836522191852,0.12320512820512822,0.4504464285714285,0.6171162192328422,0.625991795757543,0.5155257936507937,0.7144270420301349,0.0947616081246742,0.071615469150662,0.00816062176165803,0.21935897435897436,0.13591921492552037,0.12046882130295668,0.05282902438890904,0.24159546154576936,0.19336056451780934,0.20662501626968632,-0.09333333333333334,0.43564874784110535,-0.006639435482190675,0.006625016269686312,-0.29333333333333333,0.23564874784110537,0.7558078370903553,0.7613465911083479,0.6389215044844924,0.8339433786290116,0.08425091195186371,0.08680840737766471,0.012854036349969126,0.13617350699167619,0.4301666666666667,0.44333333333333336,0.3681666666666667,0.477375,0.41663473800622386,0.41775759559264714,0.3240752310295457,0.5342407852564103,7.2,7.0,6.0,8.0,8.4,8.0,7.225,10.55,5.8,6.0,5.0,6.0
วิ่งแลกแว่น | Top Charoen,popularity,matched_random,500,10,0.9693999999999999,0.97,0.9620000000000001,0.97755,0.9964000000000001,0.996,0.994,0.9995499999999999,0.343733336974322,0.3171565174702781,0.2329986699551917,0.4701191576191576,0.5643731390745479,0.5694808520895478,0.4782301532301533,0.6452378831076265,0.09189352395113015,0.08567850113743833,0.04384776132198813,0.19816811856689162,0.1366403040855684,0.12930443275363002,0.05326286116924488,0.21753962961682888,0.2518398130231919,0.2296185045650477,0.037268344323559056,0.4184684684684685,0.05183981302319187,0.029618504565047693,-0.16273165567644096,0.2184684684684685,0.807438060361096,0.8185595122988105,0.733536694318121,0.8877213127673799,0.11526985162444928,0.12026336359991162,0.06600825283778142,0.18088863287092294,0.4574,0.4573333333333333,0.4189166666666667,0.4846666666666667,0.23583769499043328,0.22463960211063141,0.16133697800364466,0.3911592505854802,7.4,7.0,7.0,8.0,10.8,10.0,9.0,15.100000000000001,5.8,6.0,5.0,6.0
วิ่งแลกแว่น | Top Charoen,popularity,post_affiliation_proxy,1000,10,0.42519999999999997,0.424,0.378575,0.491525,0.4888,0.479,0.43022499999999997,0.56565,0.37911919665332283,0.38709139592291764,0.3199116115196079,0.42988010807159743,0.5402047240576857,0.5313890914577414,0.4912144537643208,0.613656505581344,0.08067607928899148,0.08067495525502244,0.06319159836065574,0.11003376394597769,0.14137271998115147,0.14802546375069126,0.07728135225614426,0.18261201531185875,0.2984431173643314,0.29967062857297133,0.24830652573529416,0.36004658926702876,0.09844311736433138,0.09967062857297129,0.04830652573529412,0.1600465892670287,0.8177869034379455,0.8215608604068778,0.7636198430797397,0.8706172637562184,0.1226095963520164,0.12141277376155821,0.08194794180063389,0.17199827936969372,0.4213,0.41800000000000004,0.3924083333333333,0.4487833333333333,0.07639321423598258,0.07718194254445965,0.06601039167907158,0.08382633587786259,8.7,8.5,8.0,10.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
วิ่งแลกแว่น | Top Charoen,popularity,post_affiliation_proxy,200,10,0.4215,0.435,0.295,0.536625,0.49400000000000005,0.5125,0.351125,0.615,0.3229185042258612,0.3356643356643357,0.12068850267379679,0.5113700564971752,0.5510649067411919,0.5773512794948488,0.3574675324675325,0.726803646934461,0.12601658903294694,0.09596217735752618,0.02197897049591965,0.27767857142857144,0.19043856632583164,0.18191789899588623,0.07560870407920528,0.32979566144387773,0.19690191519291428,0.16834909276769744,-0.09643812070282659,0.48093220338983056,-0.0030980848070857143,-0.03165090723230257,-0.2964381207028266,0.2809322033898305,0.8016523807899629,0.7629024478247239,0.676450888103707,0.9870877941255196,0.1443876417338171,0.0925738873158782,0.038470637586206766,0.3975064935064935,0.4253333333333333,0.42833333333333334,0.3537083333333333,0.4745416666666667,0.32542095834688983,0.2924076607387141,0.27541208791208793,0.43855932203389836,7.2,7.0,6.0,8.775,6.0,6.0,6.0,6.0,5.7,6.0,4.0,7.0
